,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
2928,30,-1,58,1,-1,12,0,1,7,-1,1,1,0,7,0.037261698,0.209302326,0.790697674,0.302679218,0.741626794,0.258373206,0.28372591,0.690566038,0.309433962,0.358780202,2,0.9
2929,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.011265165,0.461538462,0.538461538,0.055756698,0.909090909,0.090909091,0.21627409,0.920792079,0.079207921,0.358188551,2,0.6
2930,30,-1,58,1,-1,12,0,1,9,1,0,0,27,31,0.029462738,0.382352941,0.617647059,0.064446054,0.662921348,0.337078652,0.24732334,0.346320346,0.653679654,0.580033945,1,0.1
2931,30,-1,58,1,-1,12,0,1,6,-1,0,0,0,20,0.01559792,0.444444444,0.555555556,0.025343954,0.714285714,0.285714286,0.0251606,0.531914894,0.468085106,0.455737763,1,0.1
2932,30,-1,58,1,-1,12,0,1,9,1,0,1,27,0,0.029462738,0.058823529,0.941176471,0.064446054,0.539325843,0.460674157,0.24732334,0.322510823,0.677489177,0.384901151,0,0.3
2933,30,-1,58,1,-1,12,0,1,9,1,0,1,12,0,0.006065858,0.285714286,0.714285714,0.068790731,0.442105263,0.557894737,0.052997859,0.464646465,0.535353535,0.454970048,2,0.7
2934,30,-1,58,1,-1,12,0,1,17,-1,0,0,39,22,0.006065858,0.428571429,0.571428571,0.006517017,0.555555556,0.444444444,0.030513919,0.771929825,0.228070175,0.476181706,2,0.6
2935,30,-1,58,1,-1,12,0,1,8,-1,0,1,0,0,0.044194107,0.431372549,0.568627451,0.036929761,0.431372549,0.568627451,0.206102784,0.490909091,0.509090909,0.468142722,0,0.3
2936,30,-1,58,1,-1,12,0,1,8,-1,1,1,38,29,0.012131716,0.928571429,0.071428571,0.034033309,0.893617021,0.106382979,0.031049251,0.879310345,0.120689655,0.446861997,0,0.2
2937,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.006065858,0.857142857,0.142857143,0.023895728,0.181818182,0.818181818,0.062633833,0.051282051,0.948717949,0.416400247,2,0.6
2938,30,-1,58,1,-1,12,0,1,12,1,0,0,31,32,0.004332756,0.8,0.2,0.026068067,0.166666667,0.833333333,0.062633833,0.675213675,0.324786325,0.461707458,2,0.7
2939,30,-1,58,1,-1,12,0,1,17,-1,1,1,39,11,0.003466205,0.5,0.5,0.010137581,0.142857143,0.857142857,0.024625268,0.391304348,0.608695652,0.393326398,0,0.3
2940,30,-1,58,1,-1,12,0,1,6,-1,1,1,22,29,0.008665511,0.2,0.8,0.05141202,0.028169014,0.971830986,0.38490364,0.344923505,0.655076495,0.379085469,2,0.6
2941,30,-1,58,1,-1,12,0,1,9,1,1,1,27,0,0.00779896,0.777777778,0.222222222,0.064446054,0.078651685,0.921348315,0.24732334,0.603896104,0.396103896,0.36182804,2,0.6
2942,30,-1,58,1,-1,12,0,1,8,-1,0,1,38,29,0.018197574,0.19047619,0.80952381,0.116582187,0.552795031,0.447204969,0.206102784,0.231168831,0.768831169,0.467566316,0,0.2
2943,30,-1,58,1,-1,12,0,1,14,1,1,1,22,26,0.030329289,0.571428571,0.428571429,0.30557567,0.421800948,0.578199052,0.225910064,0.421800948,0.578199052,0.368857192,0,0.2
2944,30,-1,58,1,-1,12,0,1,8,-1,0,1,30,29,0.044194107,0.31372549,0.68627451,0.036929761,0.31372549,0.68627451,0.206102784,0.475324675,0.524675325,0.396934857,0,0.2
2945,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.009532062,0.636363636,0.363636364,0.281679942,0.347043702,0.652956298,0.321734475,0.400998336,0.599001664,0.404843135,0,0.2
2946,30,-1,58,1,-1,12,0,1,8,-1,0,0,0,0,0.00779896,0.555555556,0.444444444,0.116582187,0.571428571,0.428571429,0.206102784,0.820779221,0.179220779,0.470679756,2,0.6
2947,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.033795494,0.487179487,0.512820513,0.281679942,0.156812339,0.843187661,0.321734475,0.277870216,0.722129784,0.392922764,0,0.3
2948,30,-1,58,1,-1,12,0,1,6,-1,1,1,0,0,0.013864818,0.1875,0.8125,0.079652426,0.063636364,0.936363636,0.38490364,0.033379694,0.966620306,0.3661968,2,0.8
2949,30,-1,58,1,-1,12,0,1,9,1,1,1,27,7,0.071057192,0.182926829,0.817073171,0.059377263,0.182926829,0.817073171,0.24732334,0.443722944,0.556277056,0.702171108,2,0.6
2950,30,-1,58,1,-1,12,0,1,8,-1,0,1,0,0,0.00779896,0.222222222,0.777777778,0.116582187,0.552795031,0.447204969,0.206102784,0.812987013,0.187012987,0.36283316,0,0.3
2951,30,-1,58,1,-1,12,0,1,14,1,0,1,0,0,0.004332756,1,0,0.007965243,0.454545455,0.545454545,0.064775161,0.950413223,0.049586777,0.362236426,0,0.3
